Referencia,perfil,genero,jornada,equipo,ubicacion,nivel_estudios,estado_civil,edad,antiguedad_empresa,grupo_profesional,salario_mensual,departamento,distancia_trabajo_km,promociones,satisfaccion,salario_anual,impacto_abandono,scoring_abandono
TRB-0000125,0,0,1,VALLADOLID,1,4,SOLTERO/A,38,0,2,2012,TECNICAS,12,0,2,24144,4828.8,0.0
TRB-0000126,0,0,1,EUSKADI,1,4,SOLTERO/A,35,0,2,2012,TECNICAS,9,0,1,24144,4828.8,0.0
TRB-0000127,0,0,1,EUSKADI,1,4,SOLTERO/A,34,0,1,1930,TECNICAS,19,0,3,23160,4632.0,0.0
TRB-0000128,0,0,1,SEVILLA,1,1,SOLTERO/A,28,2,3,2195,TECNICAS,8,1,3,26340,5268.0,0.0
TRB-0000129,1,0,1,SENEGAL,0,4,SOLTERO/A,33,5,4,2675,TECNICAS,7,3,4,32100,6420.0,0.0014939308
TRB-0000130,0,0,1,ADMINISTRACION,1,4,SOLTERO/A,42,0,2,2012,ADMINISTRACION,7,0,1,24144,4828.8,0.0
TRB-0000132,1,0,1,SANTANDER,1,4,SOLTERO/A,35,2,4,2440,TECNICAS,11,0,3,29280,5856.0,0.05843532
TRB-0000133,0,0,0,VALENCIA,1,4,SOLTERO/A,28,0,2,2012,TECNICAS,10,1,3,24144,4828.8,0.0
TRB-0000134,0,1,1,BARCELONA,1,3,SOLTERO/A,33,0,2,2012,TECNICAS,5,0,3,24144,4828.8,0.0
TRB-0000135,0,0,1,ORIENTE MEDIO,0,4,SOLTERO/A,33,1,3,2195,TECNICAS,16,0,2,26340,5268.0,0.0
TRB-0000136,0,1,1,ORIENTE MEDIO,0,4,SOLTERO/A,33,2,3,2195,TECNICAS,18,0,2,26340,5268.0,0.0
TRB-0000137,0,1,1,SEVILLA,1,3,SOLTERO/A,32,3,3,2195,TECNICAS,15,1,3,26340,5268.0,0.0
TRB-0000138,0,1,1,SENEGAL,0,4,SOLTERO/A,32,2,2,2012,TECNICAS,20,1,2,24144,4828.8,0.0
TRB-0000139,1,1,1,VALENCIA,1,4,CASADO,39,4,4,2608,TECNICAS,10,1,2,31296,6259.200000000001,0.031788886
TRB-0000140,0,0,1,PALMA DE MALLORCA,1,4,SOLTERO/A,28,2,3,2195,TECNICAS,14,0,3,26340,5268.0,0.0
TRB-0000141,0,1,1,SEVILLA,1,4,SOLTERO/A,34,1,1,1930,TECNICAS,11,0,3,23160,4632.0,0.0
TRB-0000142,0,0,1,SEVILLA,1,3,CASADO,57,0,3,2195,TECNICAS,11,0,2,26340,5268.0,0.0
TRB-0000144,0,0,1,VALENCIA,1,4,SOLTERO/A,44,1,2,2012,TECNICAS,16,1,2,24144,4828.8,0.0
TRB-0000145,1,0,1,NIGER,1,4,SOLTERO/A,33,4,4,2584,TECNICAS,12,1,3,31008,6201.6,0.0026354194
TRB-0000146,1,1,1,ADMINISTRACION,1,4,CASADO,31,4,4,2619,ADMINISTRACION,9,2,4,31428,6285.6,0.00051885843
TRB-0000147,0,0,1,EL SALVADOR,0,3,SOLTERO/A,28,3,4,2445,TECNICAS,19,2,3,29340,5868.0,0.0
TRB-0000148,1,0,1,EUSKADI,1,4,SOLTERO/A,51,2,4,2440,TECNICAS,17,0,4,29280,5856.0,0.048811793
TRB-0000149,0,0,1,ORIENTE MEDIO,0,4,SOLTERO/A,32,1,3,2195,TECNICAS,15,1,2,26340,5268.0,0.0
TRB-0000150,1,1,1,SANTIAGO DE COMPOSTELA,1,4,CASADO,36,4,3,2330,TECNICAS,18,1,4,27960,5592.0,0.018608153
TRB-0000151,0,0,1,BARCELONA,1,4,SOLTERO/A,29,1,2,2012,TECNICAS,20,1,3,24144,4828.8,0.0
TRB-0000152,0,0,1,MAGREB,0,4,SOLTERO/A,39,1,3,2195,TECNICAS,16,0,3,26340,5268.0,0.0
TRB-0000153,0,0,1,VALLADOLID,1,3,SOLTERO/A,29,1,2,2012,TECNICAS,9,0,3,24144,4828.8,0.0
TRB-0000154,1,0,1,ADMINISTRACION,1,4,SOLTERO/A,40,4,4,2619,ADMINISTRACION,11,2,4,31428,6285.6,0.0035043359
TRB-0000155,0,0,0,BARCELONA,1,4,SOLTERO/A,40,1,1,1930,TECNICAS,12,0,2,23160,4632.0,0.0
TRB-0000157,1,0,1,GIJON,1,4,CASADO,46,4,3,2260,TECNICAS,14,1,3,27120,5424.0,0.124988735
TRB-0000159,0,0,1,EUSKADI,1,3,SOLTERO/A,51,0,2,2012,TECNICAS,9,1,3,24144,4828.8,0.0
TRB-0000160,0,1,0,SEVILLA,1,3,SOLTERO/A,26,0,1,1930,TECNICAS,6,0,3,23160,4632.0,0.0
TRB-0000161,1,1,1,SEVILLA,1,2,SOLTERO/A,25,4,3,2260,TECNICAS,8,2,2,27120,5424.0,0.025280237
TRB-0000162,1,1,1,MADRID,1,4,SOLTERO/A,31,4,3,2362,TECNICAS,5,1,4,28344,5668.8,0.0012742877
TRB-0000163,0,0,1,PAMPLONA,1,3,SOLTERO/A,27,0,2,2012,TECNICAS,10,1,2,24144,4828.8,0.0
TRB-0000164,0,0,1,BARCELONA,1,4,SOLTERO/A,34,0,4,2445,TECNICAS,16,0,2,29340,5868.0,0.0
TRB-0000165,1,0,1,BARCELONA,1,4,SOLTERO/A,31,0,3,2190,TECNICAS,19,0,4,26280,5256.0,0.015503526
TRB-0000166,1,0,1,EL SALVADOR,0,4,SOLTERO/A,31,3,5,2839,REFERENTES,19,3,3,34068,6813.6,0.07887179
TRB-0000167,1,0,1,EL SALVADOR,1,4,SOLTERO/A,43,3,4,2529,TECNICAS,9,2,4,30348,6069.6,0.02799517
TRB-0000168,0,1,1,INNOVACION Y ESS,1,1,SOLTERO/A,31,0,3,2195,TECNICAS,11,1,1,26340,5268.0,0.0
TRB-0000169,0,1,1,INNOVACION Y ESS,1,4,SOLTERO/A,40,1,4,2445,TECNICAS,14,1,2,29340,5868.0,0.0
TRB-0000170,0,1,0,ZARAGOZA,1,4,SOLTERO/A,46,0,2,2012,TECNICAS,10,0,1,24144,4828.8,0.0
TRB-0000171,0,0,1,EUSKADI,1,4,SOLTERO/A,32,3,2,2012,TECNICAS,13,0,1,24144,4828.8,0.0
TRB-0000172,1,0,1,SANTIAGO DE COMPOSTELA,1,3,CASADO,40,3,4,2445,TECNICAS,7,2,3,29340,5868.0,0.07541901
TRB-0000173,0,0,0,SANTIAGO DE COMPOSTELA,1,4,SOLTERO/A,43,0,3,2195,TECNICAS,8,0,4,26340,5268.0,0.0
TRB-0000174,0,1,1,UNION EUROPEA,0,4,SOLTERO/A,36,0,4,2445,RESPONSABLE DE AREA,8,2,2,29340,5868.0,0.0
TRB-0000175,0,1,1,BARCELONA,1,3,SOLTERO/A,31,0,3,2195,RESPONSABLE DE AREA,14,2,1,26340,5268.0,0.0
TRB-0000176,1,0,1,EUSKADI,1,4,SOLTERO/A,36,3,3,1829,TECNICAS,19,0,3,21948,4389.6,0.101355255
TRB-0000178,1,0,1,SEVILLA,1,4,CASADO,49,17,4,2501,TECNICAS,16,2,3,30012,6002.400000000001,0.1188485
TRB-0000180,1,0,1,SANTANDER,1,2,SOLTERO/A,32,3,4,2457,TECNICAS,16,3,4,29484,5896.8,0.01609546
TRB-0000181,0,1,1,ORIENTE MEDIO,0,4,SOLTERO/A,33,1,2,2012,TECNICAS,9,1,2,24144,4828.8,0.0
TRB-0000182,0,0,1,ORIENTE MEDIO,0,4,SOLTERO/A,31,1,2,2012,TECNICAS,14,0,3,24144,4828.8,0.0
TRB-0000183,0,0,1,PAMPLONA,1,4,SOLTERO/A,33,0,2,2012,TECNICAS,8,0,4,24144,4828.8,0.0
TRB-0000184,1,0,1,EUSKADI,1,4,SOLTERO/A,30,0,3,2195,TECNICAS,4,0,1,26340,5268.0,0.20859653
TRB-0000186,1,0,1,SEVILLA,1,4,SOLTERO/A,30,3,3,2195,TECNICAS,7,2,4,26340,5268.0,0.10973549
TRB-0000187,0,0,1,VALLADOLID,1,4,CASADO,38,0,2,2012,TECNICAS,10,0,3,24144,4828.8,0.0
TRB-0000188,1,0,1,EUSKADI,1,4,SOLTERO/A,28,3,3,2195,TECNICAS,13,1,4,26340,5268.0,0.11292338
TRB-0000189,0,0,1,EUSKADI,1,4,SOLTERO/A,29,0,1,1930,TECNICAS,16,0,4,23160,4632.0,0.0
TRB-0000191,0,1,1,MERIDA,1,4,SOLTERO/A,41,0,2,2012,TECNICAS,14,0,4,24144,4828.8,0.0
TRB-0000192,1,1,1,EUSKADI,1,4,SOLTERO/A,36,3,3,2185,TECNICAS,19,2,3,26220,5244.0,0.32231778
TRB-0000193,0,1,1,SANTANDER,1,3,SOLTERO/A,38,0,3,2195,TECNICAS,12,0,4,26340,5268.0,0.0
TRB-0000194,1,1,1,EUSKADI,1,4,SOLTERO/A,29,3,3,2182,TECNICAS,14,2,3,26184,5236.8,0.038808882
TRB-0000195,0,0,1,PAMPLONA,1,4,SOLTERO/A,49,1,2,2012,TECNICAS,15,0,4,24144,4828.8,0.0
TRB-0000197,0,1,1,BARCELONA,1,4,SOLTERO/A,30,0,1,1930,TECNICAS,20,0,3,23160,4632.0,0.0
TRB-0000198,0,0,1,BARCELONA,1,4,SOLTERO/A,27,2,3,2195,TECNICAS,12,2,4,26340,5268.0,0.0
TRB-0000199,1,0,1,BARCELONA,1,4,SOLTERO/A,33,2,4,2445,TECNICAS,2,1,3,29340,5868.0,0.13031006
TRB-0000200,0,1,0,EUSKADI,1,4,SOLTERO/A,28,0,1,1930,TECNICAS,14,0,4,23160,4632.0,0.0
TRB-0000201,0,1,1,UNION EUROPEA,0,3,SOLTERO/A,46,1,5,2562,TECNICAS,18,0,3,30744,6148.8,0.0
TRB-0000202,1,1,1,BARCELONA,1,3,CASADO,57,2,4,2547,TECNICAS,3,1,4,30564,6112.8,0.009514868
TRB-0000203,0,0,1,MAGREB,0,3,SOLTERO/A,36,1,3,2195,TECNICAS,16,0,4,26340,5268.0,0.0
TRB-0000206,0,0,0,VALLADOLID,1,3,SOLTERO/A,32,0,2,2012,TECNICAS,11,0,3,24144,4828.8,0.0
TRB-0000207,0,0,1,ORIENTE MEDIO,0,4,CASADO,38,0,2,2012,TECNICAS,20,0,3,24144,4828.8,0.0
TRB-0000208,0,0,1,ORIENTE MEDIO,0,4,SOLTERO/A,29,0,2,2012,TECNICAS,5,0,4,24144,4828.8,0.0
TRB-0000209,1,0,1,MAGREB,0,1,SOLTERO/A,31,2,2,2099,TECNICAS,4,0,3,25188,5037.6,0.03938806
TRB-0000210,1,0,1,EL SALVADOR,0,4,SOLTERO/A,27,2,3,2288,TECNICAS,5,0,1,27456,5491.200000000001,0.0050812364
TRB-0000211,0,0,1,BARCELONA,1,4,SOLTERO/A,34,0,1,1930,TECNICAS,9,0,4,23160,4632.0,0.0
TRB-0000212,1,0,1,BARCELONA,1,3,SOLTERO/A,32,2,4,2445,TECNICAS,12,0,2,29340,5868.0,0.17293793
TRB-0000213,1,1,1,ORIENTE MEDIO,0,4,CASADO,31,2,3,2206,TECNICAS,6,1,4,26472,5294.400000000001,0.0011821389
TRB-0000215,1,0,1,ORIENTE MEDIO,0,4,CASADO,26,2,3,2199,TECNICAS,9,0,4,26388,5277.6,0.10947454
TRB-0000216,1,0,1,ORIENTE MEDIO,0,3,SOLTERO/A,26,2,3,2195,TECNICAS,9,1,3,26340,5268.0,0.19039679
TRB-0000217,1,0,1,ADMINISTRACION,1,0,CASADO,38,2,3,2297,ADMINISTRACION,9,1,4,27564,5512.8,0.010494888
TRB-0000218,1,1,1,ADMINISTRACION,1,3,CASADO,54,2,2,2002,ADMINISTRACION,6,0,2,24024,4804.8,0.11393535
TRB-0000219,0,1,1,SENEGAL,1,4,CASADO,30,0,2,2012,TECNICAS,6,0,1,24144,4828.8,0.0
TRB-0000220,1,0,1,REPUBLICA DOMINICANA,0,4,CASADO,49,2,4,2548,TECNICAS,12,0,3,30576,6115.200000000001,0.02174902
TRB-0000221,1,0,1,ORIENTE MEDIO,0,4,SOLTERO/A,28,2,3,2206,TECNICAS,14,1,3,26472,5294.400000000001,0.036809742
TRB-0000222,0,0,1,EL SALVADOR,0,4,SOLTERO/A,37,1,3,2195,TECNICAS,7,0,1,26340,5268.0,0.0
